image_id,artist_id,image_title,subject,style,museum,label,image_url
66adc3f6-e1dc-4be4-8f65-ed2e8077a20a,cafc6f79-1dbb-42e9-8a85-3b113cf2d679,The Beach at Long Branch,Landscape Art,American Landscape,,"48"" x 24""(122 cm x 61 cm) | 60"" x 30""(152 cm x 76 cm) | 72"" x 36""(183 cm x 91 cm) | 80"" x 40""(203 cm x 102 cm) | 96"" x 48""(244 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c8/The_beach_at_Long_Branch%2C_by_Francis_Augustus_Silva.jpg
1b9e19d2-cb5d-483f-8a4a-bf1a87802527,ccb3b6fb-21ca-4fb3-b3e5-1d0185b60091,Couple Riding,Abstract/Modern Art,,,"24"" x 24""(61 cm x 61 cm) | 30"" x 30""(76 cm x 76 cm) | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm) | 60"" x 60""(152 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c7/Couple_Riding_by_Wassily_Kandinsky.jpg
1d7f5a6e-71dd-45b5-93bf-2ddb20bc80f6,fbc193e4-e155-440b-b2c8-8cc232d2a049,The Finding of Moses,,Classicism,,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/9/98/Sir_Lawrence_Alma-Tadema_-_The_finding_of_Moses.jpg
c28ee100-8050-4910-bed0-619a079e65b6,3227d983-ee88-4160-89a9-4319b35972dc,Still Life with Fruit and Roemer,Still-Life,Baroque,,"20"" Long Edge | 24"" Long Edge | 30"" Long Edge | 36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm)",https://upload.wikimedia.org/wikipedia/commons/6/67/Pieter_Claesz_-_Still_Life_with_Fruit_and_Roemer_-_Google_Art_Project.jpg
664c8d16-0dea-4bf5-81d9-180f5664ce95,c2741351-8f15-49e8-b7c3-78e3cd061d94,Redheaded Girl in Evening Dress,,Expressionism,The Barnes Foundation,"16"" x 24""(41 cm x 61 cm) | 20"" x 30""(51 cm x 76 cm) | 24"" Long Edge | 24"" x 36""(61 cm x 91 cm) | 30"" Long Edge | 30"" x 46""(76 cm x 117 cm) | 36"" Long Edge | 36"" x 54""(91 cm x 137 cm) | 40"" Long Edge | 40"" x 60""(102 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/2/28/Amedeo_Modigliani_-_Redheaded_Girl_in_Evening_Dress_%28Jeune_fille_rousse_en_robe_de_soir%29_-_BF206_-_Barnes_Foundation.jpg
28341c2f-61da-40e4-a9e0-f7f11249caf8,c2741351-8f15-49e8-b7c3-78e3cd061d94,Christina,,Expressionism,,"16"" x 20""(41 cm x 51 cm) | 20"" x 24""(51 cm x 61 cm) | 24"" x 30""(61 cm x 76 cm) | 26"" x 32""(66 cm x 81 cm) | 29"" x 36""(74 cm x 91 cm) | 30"" x 40""(76 cm x 102 cm) | 36"" x 48""(91 cm x 122 cm) | 48"" x 60""(122 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/7/74/Amedeo_Modigliani_-_Christina.jpg
826fb72b-441d-49be-b867-6b758fd68ef8,7db22866-5360-49e5-a5e7-970b7fa7cb00,Barges at Pontoise,Rivers/Lakes,Impressionism,The Metropolitan Museum of Art,"24"" Long Edge | 30"" Long Edge | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/6/6d/Camille_Pissarro_Barges_at_Pontoise_The_Metropolitan_Museum_of_Art.jpg
96b554d8-b0ee-4c89-b5a9-7222425ff4d5,733ad22b-4250-40eb-a689-edfde2ebb0ad,Young Herdsmen with Cows,,Baroque,The Metropolitan Museum of Art,"24"" Long Edge | 30"" Long Edge | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/5/5e/Young_Herdsmen_with_Cows_MET_DP146445.jpg
7e950fdc-cfe0-4664-939c-d866ea87aee5,67d005bc-e775-4d1e-bf81-9ec1246f372b,"Regents and Regentesses of the Lepers' Asylum, Amsterdam",Portraits,,Rijksmuseum,"40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c5/Regenten_en_regentessen_van_het_leprozenhuis_te_Amsterdam%2C_1834-35_Rijksmuseum_SK-C-1123.jpeg
f4211c8c-bd43-4034-a621-26afadd8ff96,88f72e6a-cb2f-405e-a5ab-180e24ce7522,Woman with a Parasol,,Impressionism,National Gallery of Art,"24"" Long Edge | 29"" x 36""(74 cm x 91 cm) | 30"" Long Edge | 36"" x 48""(91 cm x 122 cm) | 48"" x 60""(122 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/1/1b/Claude_Monet_-_Woman_with_a_Parasol_-_Madame_Monet_and_Her_Son_-_Google_Art_Project.jpg
